id_geography,zipcode,id_borough,building,street,latitude,longitude
21787,10462,2,790,LYDIG AVENUE,40.854416937911,-73.864232878038
4467,11215,3,357,3 STREET,40.673040136741,-73.983773915023
18517,11105,4,2310,31ST ST,40.774057078823,-73.913247249135
20158,10465,2,500,HUTCHINSON RIVER PARKWAY,40.812003407086,-73.835567392061
4371,11213,3,209,UTICA AVENUE,40.671705667342,-73.930835937715
7995,10006,1,106,LIBERTY STREET,40.70982336275,-74.012000464132
6506,11201,3,327,GOLD STREET,40.694528905214,-73.983271014845
18100,10019,1,893,9 AVENUE,40.768431984928,-73.9853426732
16611,10036,1,604,10 AVENUE,40.760580050424,-73.994762250179
14962,11101,4,42-02,NORTHERN BOULEVARD,40.753068276318,-73.921377667644
16392,11354,4,136-20,ROOSEVELT AVENUE,40.759777908235,-73.829235428489
4515,11213,3,148,UTICA AVENUE,40.673780611026,-73.930657130826
6661,11385,4,913,WYCKOFF AVENUE,40.69694030128,-73.906456352297
22663,10463,2,454,WEST  238 STREET,40.887271122201,-73.905037404907
20273,10455,2,423,EAST  149 STREET,40.815793780282,-73.916989643867
3430,11203,3,4213,CHURCH AVENUE,40.65138734626,-73.937859308837
2453,11220,3,6816,4 AVENUE,40.635128016011,-74.023321828157
19150,10024,1,405,AMSTERDAM AVENUE,40.783397982989,-73.97812460062
18656,10028,1,1420,3 AVENUE,40.775325010202,-73.956543368639
8251,11211,3,795,GRAND STREET,40.711881349934,-73.94146029978
8562,10002,1,19,DIVISION STREET,40.714086567576,-73.996623638233
19399,10029,1,1575,LEXINGTON AVENUE,40.788732693517,-73.948824490922
5409,11231,3,270,SMITH STREET,40.682614864632,-73.993257686691
21049,10032,1,3845,BROADWAY,40.83612090723,-73.943381554249
0,null,1,4648,BOWERY,0,0
18553,10028,1,1580,1 AVENUE,40.77442530508,-73.951146252048
12692,10016,1,378,3 AVENUE,40.741535477197,-73.981180546098
16137,11355,4,136-21,41 AVENUE,40.758671536159,-73.829079451028
17234,10022,1,119,EAST   60 STREET,40.763188856654,-73.968500066847
9345,10013,1,136,MULBERRY STREET,40.718519394966,-73.997694829896
3987,11213,3,387,UTICA AVENUE,40.66496761798,-73.931470144522
1894,11230,3,1319,AVENUE J,40.62500713944,-73.962989032481
8634,10002,1,121,DIVISION STREET,40.71442941923,-73.991786308278
18298,11370,4,77-06,21 AVENUE,40.770520879085,-73.892644310003
3882,11212,3,85,DUMONT AVENUE,40.66300349881,-73.916629035213
11451,10003,1,192,2 AVENUE,40.731287180283,-73.985697258364
4688,11238,3,667,FRANKLIN AVENUE,40.675643182321,-73.956157929789
4808,11238,3,681,WASHINGTON AVENUE,40.676886421168,-73.963583830873
8490,10002,1,89,EAST BROADWAY,40.713748839149,-73.993727069175
11257,10003,1,11,WAVERLY PLACE,40.730033566227,-73.994172933544
20236,10027,1,3163,BROADWAY,40.814647218976,-73.959057318676
14607,10018,1,63,WEST   37 STREET,40.751148206248,-73.985079407093
2122,10310,5,604,FOREST AVENUE,40.630005781724,-74.109402065029
2759,11220,3,5603,7 AVENUE,40.638980926117,-74.009494296081
5411,11233,3,373,LEWIS AVENUE,40.682646024762,-73.934974498019
18578,11105,4,3516,DITMARS BLVD,40.774715056089,-73.908722403566
14052,10001,1,360,7 AVENUE,40.748373980278,-73.992536406355
1984,11210,3,2923,AVENUE J,40.626700138021,-73.947565858869
16669,10065,1,1111,1 AVENUE,40.760760235711,-73.961144525151
18474,11102,4,1801,26TH RD,40.773215793475,-73.927029402052
19551,10025,1,722,AMSTERDAM AVENUE,40.793538197266,-73.970750090651
21302,10457,2,1735,WASHINGTON AVENUE,40.843148281661,-73.900253922366
19805,10025,1,1000,COLUMBUS AVENUE,40.801388139429,-73.961333824905
